id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,kitchen,region,Province,sq_m_price,sq_m_land_price
9000195,1200,APARTMENT,PENTHOUSE,840000,FOR_SALE,4,238.0,HYPER_EQUIPPED,False,False,True,93.0,False,-1.0,331.0,4,False,AS_NEW,True,BXL,BXL,3529.4117647058824,2537.764350453172
8974452,1200,APARTMENT,DUPLEX,840000,FOR_SALE,4,220.0,USA_HYPER_EQUIPPED,True,False,True,85.0,False,-1.0,305.0,4,False,AS_NEW,True,BXL,BXL,3818.181818181818,2754.098360655738
9002329,1180,APARTMENT,PENTHOUSE,1500000,FOR_SALE,3,220.0,USA_HYPER_EQUIPPED,False,False,True,60.0,False,-1.0,280.0,3,False,AS_NEW,True,BXL,BXL,6818.181818181818,5357.142857142857
8943751,1180,APARTMENT,APARTMENT,1500000,FOR_SALE,3,220.0,INSTALLED,True,False,True,60.0,False,-1.0,280.0,4,False,AS_NEW,True,BXL,BXL,6818.181818181818,5357.142857142857
8876611,1050,APARTMENT,APARTMENT,1550000,FOR_SALE,3,212.0,HYPER_EQUIPPED,False,False,True,39.0,False,-1.0,251.0,3,False,AS_NEW,True,BXL,BXL,7311.320754716981,6175.298804780877
8952406,1050,APARTMENT,PENTHOUSE,2500000,FOR_SALE,4,277.0,USA_HYPER_EQUIPPED,False,False,True,111.0,False,-1.0,388.0,2,False,AS_NEW,True,BXL,BXL,9025.270758122744,6443.298969072165
8935749,1050,APARTMENT,PENTHOUSE,2500000,FOR_SALE,4,277.0,USA_HYPER_EQUIPPED,False,False,True,111.0,False,-1.0,388.0,2,False,AS_NEW,True,BXL,BXL,9025.270758122744,6443.298969072165
8993145,9300,HOUSE,HOUSE,325000,FOR_SALE,3,155.0,INSTALLED,True,False,True,25.0,True,135.0,230.0,2,False,GOOD,True,VLA,VOV,2096.7741935483873,1413.0434782608695
8918930,9500,HOUSE,HOUSE,385000,FOR_SALE,2,231.0,0,True,False,False,-1.0,True,633.0,789.0,3,False,JUST_RENOVATED,False,VLA,VOV,1666.6666666666667,487.9594423320659
9034801,4040,APARTMENT,APARTMENT,106000,FOR_SALE,3,100.0,NOT_INSTALLED,False,False,False,-1.0,False,-1.0,99.0,2,False,GOOD,True,WAL,WLG,1060.0,1070.7070707070707
9043026,2630,HOUSE,TOWN_HOUSE,279000,FOR_SALE,2,123.0,SEMI_EQUIPPED,True,False,True,6.0,True,135.0,178.0,-1,False,AS_NEW,True,VLA,VAN,2268.2926829268295,1567.4157303370787
9026420,6230,HOUSE,HOUSE,149900,FOR_SALE,3,170.0,NOT_INSTALLED,False,False,False,-1.0,True,400.0,500.0,3,False,TO_RENOVATE,True,WAL,WHT,881.7647058823529,299.8
9026430,9600,HOUSE,HOUSE,269500,FOR_SALE,4,170.0,HYPER_EQUIPPED,False,False,True,30.0,True,350.0,502.0,3,False,JUST_RENOVATED,True,VLA,VOV,1585.2941176470588,536.8525896414343
9026307,4000,HOUSE,HOUSE,329000,FOR_SALE,3,205.0,INSTALLED,False,False,True,20.0,True,200.0,275.0,2,False,GOOD,True,WAL,WLG,1604.878048780488,1196.3636363636363
8982858,4450,HOUSE,VILLA,420000,FOR_SALE,4,210.0,USA_HYPER_EQUIPPED,True,True,True,14.0,True,760.0,1100.0,4,False,AS_NEW,True,WAL,WLG,2000.0,381.8181818181818
9026253,1040,APARTMENT,APARTMENT,620000,FOR_SALE,3,196.0,HYPER_EQUIPPED,False,False,True,16.0,False,-1.0,212.0,2,False,AS_NEW,True,BXL,BXL,3163.265306122449,2924.5283018867926
8777614,8301,APARTMENT,APARTMENT,1045000,FOR_SALE,3,106.0,INSTALLED,True,False,True,-1.0,True,-1.0,105.0,2,False,GOOD,True,VLA,VWV,9858.490566037735,9952.380952380952
9037255,1160,APARTMENT,GROUND_FLOOR,383000,FOR_SALE,2,101.0,USA_HYPER_EQUIPPED,False,False,True,20.0,True,75.0,121.0,-1,False,AS_NEW,True,BXL,BXL,3792.079207920792,3165.289256198347
9030568,4480,HOUSE,HOUSE,215000,FOR_SALE,3,115.0,INSTALLED,False,False,True,50.0,False,-1.0,107.0,2,False,AS_NEW,True,WAL,WLG,1869.5652173913043,2009.3457943925234
9030787,1400,HOUSE,VILLA,325000,FOR_SALE,5,175.0,INSTALLED,False,False,True,16.0,True,457.0,648.0,4,False,TO_BE_DONE_UP,True,WAL,WBR,1857.142857142857,501.5432098765432
9040924,2000,APARTMENT,APARTMENT,359500,FOR_SALE,3,116.0,0,True,False,True,6.0,False,-1.0,122.0,2,False,AS_NEW,False,VLA,VAN,3099.137931034483,2946.72131147541
9039024,6800,APARTMENT,APARTMENT,245000,FOR_SALE,2,128.0,INSTALLED,False,False,True,-1.0,False,-1.0,127.0,-1,False,AS_NEW,True,WAL,WLX,1914.0625,1929.1338582677165
9039860,9000,APARTMENT,APARTMENT,295000,FOR_SALE,2,110.0,0,True,False,True,8.0,False,-1.0,118.0,2,False,TO_BE_DONE_UP,False,VLA,VOV,2681.818181818182,2500.0
9031391,1140,APARTMENT,APARTMENT,197500,FOR_SALE,1,70.0,HYPER_EQUIPPED,True,True,True,3.0,False,-1.0,73.0,4,False,JUST_RENOVATED,True,BXL,BXL,2821.4285714285716,2705.4794520547944
9030582,9400,APARTMENT,APARTMENT,300000,FOR_SALE,2,104.0,USA_HYPER_EQUIPPED,False,False,True,18.0,False,-1.0,122.0,3,False,AS_NEW,True,VLA,VOV,2884.6153846153848,2459.0163934426228
9030647,1200,APARTMENT,APARTMENT,445000,FOR_SALE,3,146.0,INSTALLED,False,False,False,-1.0,False,-1.0,145.0,2,False,AS_NEW,True,BXL,BXL,3047.945205479452,3068.9655172413795
9030572,1180,APARTMENT,PENTHOUSE,1500000,FOR_SALE,3,220.0,HYPER_EQUIPPED,False,False,True,60.0,False,-1.0,280.0,3,False,AS_NEW,True,BXL,BXL,6818.181818181818,5357.142857142857
9037610,8570,HOUSE,HOUSE,230000,FOR_SALE,3,210.0,SEMI_EQUIPPED,True,False,False,-1.0,True,114.0,323.0,3,False,GOOD,True,VLA,VWV,1095.2380952380952,712.0743034055728
9037607,9750,HOUSE,HOUSE,379000,FOR_SALE,4,160.0,SEMI_EQUIPPED,True,False,False,-1.0,True,681.0,840.0,3,False,GOOD,True,VLA,VOV,2368.75,451.1904761904762
9037893,4031,HOUSE,HOUSE,415000,FOR_SALE,4,232.0,NOT_INSTALLED,True,True,True,18.0,True,1880.0,1880.0,4,False,TO_BE_DONE_UP,True,WAL,WLG,1788.7931034482758,220.74468085106383
9041500,3040,HOUSE,HOUSE,948000,FOR_SALE,4,330.0,INSTALLED,True,True,True,-1.0,True,2200.0,2420.0,4,False,JUST_RENOVATED,True,VLA,VBR,2872.7272727272725,391.73553719008265
9014635,4101,HOUSE,HOUSE,69000,FOR_SALE,1,50.0,SEMI_EQUIPPED,False,False,False,-1.0,False,-1.0,45.0,2,False,TO_BE_DONE_UP,True,WAL,WLG,1380.0,1533.3333333333333
8643789,6183,HOUSE,HOUSE,79900,FOR_SALE,4,130.0,SEMI_EQUIPPED,False,False,True,-1.0,True,240.0,320.0,2,False,TO_RENOVATE,True,WAL,WHT,614.6153846153846,249.6875
8693767,6870,HOUSE,MIXED_USE_BUILDING,89000,FOR_SALE,3,180.0,NOT_INSTALLED,False,False,False,-1.0,False,-1.0,96.0,2,False,TO_RENOVATE,True,WAL,WLX,494.44444444444446,927.0833333333334
8969648,9600,HOUSE,HOUSE,89500,FOR_SALE,2,115.0,SEMI_EQUIPPED,False,False,True,15.0,False,-1.0,60.0,2,False,TO_RENOVATE,True,VLA,VOV,778.2608695652174,1491.6666666666667
